marital,age,happy,income,health
never married,23.0,not too happy,,good
married,70.0,not too happy,,fair
married,48.0,pretty happy,,excellent
married,27.0,not too happy,,good
married,61.0,pretty happy,,good
never married,26.0,pretty happy,,good
divorced,28.0,not too happy,,excellent
never married,27.0,not too happy,,good
never married,21.0,pretty happy,,excellent
married,30.0,pretty happy,,fair
married,30.0,pretty happy,,good
married,56.0,pretty happy,,fair
married,54.0,pretty happy,,excellent
divorced,49.0,not too happy,,good
married,41.0,very happy,,excellent
married,54.0,not too happy,,good
married,24.0,very happy,,fair
married,62.0,very happy,,fair
married,46.0,very happy,,excellent
never married,21.0,very happy,,good
married,57.0,very happy,,good
married,58.0,very happy,,good
married,21.0,very happy,,good
married,26.0,very happy,,good
married,71.0,pretty happy,,excellent
married,53.0,very happy,,excellent
married,42.0,pretty happy,,excellent
married,42.0,pretty happy,,good
married,20.0,pretty happy,,excellent
married,23.0,pretty happy,,fair
married,26.0,pretty happy,,good
married,25.0,very happy,,excellent
never married,26.0,pretty happy,,excellent
married,78.0,very happy,,excellent
married,21.0,very happy,,good
married,27.0,not too happy,,excellent
married,58.0,very happy,,excellent
married,35.0,pretty happy,,good
never married,58.0,not too happy,,fair
married,51.0,pretty happy,,good
widowed,76.0,very happy,,excellent
married,53.0,not too happy,,fair
married,39.0,pretty happy,,good
married,64.0,very happy,,good
married,50.0,pretty happy,,good
married,27.0,very happy,,excellent
never married,25.0,pretty happy,,good
married,49.0,pretty happy,,good
married,40.0,very happy,,excellent
married,43.0,pretty happy,,good
married,46.0,pretty happy,,good
married,37.0,very happy,,good
married,46.0,very happy,,good
married,22.0,very happy,,excellent
married,53.0,very happy,,excellent
married,35.0,pretty happy,,excellent
married,31.0,pretty happy,,good
married,30.0,pretty happy,,good
married,37.0,very happy,,good
married,57.0,very happy,,good
married,39.0,very happy,,good
married,62.0,pretty happy,,fair
married,51.0,pretty happy,,fair
married,43.0,pretty happy,,excellent
married,39.0,very happy,,excellent
married,52.0,pretty happy,,poor
married,30.0,pretty happy,,excellent
married,47.0,very happy,,fair
never married,31.0,pretty happy,,good
married,25.0,pretty happy,,excellent
married,45.0,pretty happy,,good
married,30.0,pretty happy,,excellent
married,68.0,pretty happy,,fair
married,63.0,not too happy,,excellent
never married,19.0,pretty happy,,good
never married,23.0,pretty happy,,excellent
married,46.0,pretty happy,,fair
widowed,55.0,not too happy,,excellent
never married,22.0,very happy,,good
never married,55.0,pretty happy,,fair
married,44.0,pretty happy,,fair
married,41.0,pretty happy,,good
divorced,49.0,very happy,,excellent
married,28.0,very happy,,fair
never married,21.0,pretty happy,,good
married,26.0,very happy,,excellent
married,31.0,pretty happy,,good
never married,28.0,pretty happy,,excellent
married,26.0,very happy,,excellent
never married,20.0,pretty happy,,good
married,25.0,very happy,,excellent
married,57.0,pretty happy,,fair
married,58.0,pretty happy,,good
married,54.0,very happy,,good
married,35.0,very happy,,good
married,40.0,very happy,,excellent
married,57.0,very happy,,fair
married,64.0,very happy,,excellent
married,34.0,very happy,,excellent
married,25.0,pretty happy,,fair
married,28.0,very happy,,good
married,41.0,pretty happy,,good
married,36.0,very happy,,good
married,31.0,very happy,,excellent
married,45.0,pretty happy,,fair
married,74.0,pretty happy,,fair
divorced,64.0,pretty happy,,good
never married,23.0,pretty happy,,excellent
divorced,27.0,very happy,,excellent
divorced,42.0,not too happy,,fair
divorced,47.0,not too happy,,good
never married,26.0,pretty happy,,good
married,34.0,pretty happy,,fair
married,52.0,pretty happy,,excellent
divorced,24.0,pretty happy,,excellent
separated,36.0,pretty happy,,good
married,25.0,pretty happy,,good
separated,46.0,not too happy,,excellent
married,54.0,pretty happy,,good
separated,27.0,pretty happy,,fair
